transaction_id,device_id,ip_address,device_type,country
TXN100045,D1120,192.168.43.87,mobile,NG
TXN100046,D2394,192.168.12.204,tablet,NG
TXN100047,D2259,192.168.57.98,tablet,IN
TXN100048,D1041,192.168.74.50,desktop,GB
TXN100049,D2700,192.168.173.155,mobile,KE
TXN100050,D1320,192.168.101.191,mobile,IN
TXN100051,D2337,192.168.79.23,desktop,NG
TXN100052,D1028,192.168.81.189,mobile,KE
TXN100053,D2643,192.168.244.5,desktop,IN
TXN100054,D2863,192.168.64.89,tablet,KE
TXN100055,D1907,192.168.219.120,desktop,US
TXN100056,D2015,192.168.126.29,mobile,KE
TXN100057,D2711,192.168.186.64,mobile,GB
TXN100058,D2650,192.168.238.36,desktop,GB
TXN100059,D1447,192.168.221.42,mobile,GB
TXN100060,D2204,192.168.11.191,desktop,NG
TXN100061,D2293,192.168.129.193,desktop,GB
TXN100062,D2371,192.168.38.154,tablet,US
TXN100063,D2619,192.168.185.58,tablet,KE
TXN100064,D2177,192.168.19.249,tablet,KE
TXN100065,D1775,192.168.155.180,tablet,US
TXN100066,D2919,192.168.176.138,tablet,KE
TXN100067,D2781,192.168.57.236,desktop,US
TXN100068,D2128,192.168.120.59,desktop,NG
TXN100069,D1531,192.168.236.198,tablet,US
TXN100070,D2053,192.168.179.120,tablet,US
TXN100071,D2926,192.168.165.60,desktop,IN
TXN100072,D1995,192.168.38.11,desktop,US
TXN100073,D1840,192.168.39.45,tablet,IN
TXN100074,D1164,192.168.167.73,mobile,IN
TXN100075,D1761,192.168.156.48,mobile,NG
TXN100076,D1450,192.168.144.175,mobile,GB
TXN100077,D1686,192.168.152.129,mobile,GB
TXN100078,D1307,192.168.168.35,desktop,IN
TXN100079,D1688,192.168.145.2,desktop,NG
TXN100080,D1141,192.168.126.172,tablet,US
TXN100081,D2729,192.168.129.97,desktop,IN
TXN100082,D1580,192.168.248.212,tablet,IN
TXN100083,D1736,192.168.227.115,desktop,GB
TXN100084,D1662,192.168.152.169,tablet,IN
TXN100085,D2905,192.168.15.245,tablet,GB
TXN100086,D2525,192.168.40.181,mobile,KE
TXN100087,D2995,192.168.71.180,mobile,NG
TXN100088,D2433,192.168.76.215,desktop,KE
TXN100089,D1640,192.168.223.114,tablet,GB
TXN100090,D1647,192.168.229.206,desktop,US
TXN100091,D1411,192.168.104.38,desktop,US
TXN100092,D1892,192.168.229.116,mobile,US
TXN100093,D1270,192.168.44.139,tablet,US
TXN100094,D1960,192.168.91.246,tablet,NG
TXN100095,D2473,192.168.58.247,tablet,GB
TXN100096,D1246,192.168.101.219,mobile,KE
TXN100097,D1140,192.168.78.117,tablet,NG
TXN100098,D1603,192.168.220.213,desktop,KE
TXN100099,D2873,192.168.43.216,desktop,NG
TXN100100,D2189,192.168.211.183,desktop,NG
TXN100101,D2158,192.168.252.230,desktop,US
TXN100102,D2982,192.168.202.49,tablet,IN
TXN100103,D1720,192.168.208.131,mobile,GB
TXN100104,D2406,192.168.240.127,mobile,US
TXN100105,D2780,192.168.184.47,mobile,GB
TXN100106,D1894,192.168.79.54,tablet,KE
TXN100107,D2717,192.168.137.37,mobile,GB
TXN100108,D1228,192.168.235.73,mobile,US
TXN100109,D2900,192.168.156.197,mobile,US
TXN100110,D2793,192.168.39.161,desktop,GB
TXN100111,D1695,192.168.239.153,mobile,GB
TXN100112,D2727,192.168.5.153,tablet,NG
TXN100113,D2361,192.168.217.185,desktop,US
TXN100114,D1905,192.168.102.168,tablet,US
TXN100115,D1428,192.168.13.97,tablet,IN
TXN100116,D2533,192.168.42.126,tablet,US
TXN100117,D1617,192.168.171.45,desktop,NG
TXN100118,D1311,192.168.41.37,mobile,US
TXN100119,D1090,192.168.168.227,tablet,KE
TXN100120,D1281,192.168.105.96,tablet,KE
TXN100121,D2840,192.168.11.83,tablet,KE
TXN100122,D1728,192.168.69.33,desktop,KE
TXN100123,D1379,192.168.72.32,mobile,NG
TXN100124,D2056,192.168.74.211,tablet,GB
TXN100125,D1900,192.168.146.202,mobile,GB
TXN100126,D1179,192.168.185.19,mobile,KE
TXN100127,D2446,192.168.165.157,tablet,GB
TXN100128,D2891,192.168.107.98,desktop,KE
TXN100129,D2335,192.168.125.10,desktop,GB
TXN100130,D2801,192.168.230.186,desktop,NG
TXN100131,D2784,192.168.102.14,desktop,KE
TXN100132,D2366,192.168.178.74,tablet,KE
TXN100133,D1724,192.168.37.28,desktop,GB
TXN100134,D2350,192.168.88.8,tablet,KE
TXN100135,D1797,192.168.17.140,tablet,NG
TXN100136,D1083,192.168.212.203,desktop,IN
TXN100137,D2418,192.168.113.179,mobile,IN
TXN100138,D1017,192.168.106.102,mobile,GB
TXN100139,D1466,192.168.182.99,mobile,IN
TXN100140,D2326,192.168.54.26,mobile,NG
TXN100141,D2470,192.168.217.143,desktop,US
TXN100142,D1149,192.168.90.183,desktop,GB
TXN100143,D1254,192.168.175.51,tablet,IN
TXN100144,D1619,192.168.179.42,mobile,US
TXN100145,D2269,192.168.170.94,mobile,IN
TXN100146,D2671,192.168.135.173,desktop,KE
TXN100147,D2748,192.168.158.83,desktop,GB
TXN100148,D2642,192.168.13.73,tablet,IN
TXN100149,D1497,192.168.36.205,desktop,IN
TXN100150,D1147,192.168.136.128,tablet,GB
TXN100151,D1907,192.168.68.35,desktop,US
TXN100152,D1895,192.168.116.138,mobile,US
TXN100153,D2587,192.168.237.226,tablet,US
TXN100154,D2414,192.168.254.147,mobile,KE
TXN100155,D2373,192.168.230.21,mobile,IN
TXN100156,D2399,192.168.206.5,tablet,NG
TXN100157,D1024,192.168.146.152,desktop,KE
TXN100158,D1671,192.168.226.175,desktop,KE
TXN100159,D1156,192.168.160.17,mobile,GB
TXN100160,D2139,192.168.204.11,desktop,IN
TXN100161,D2681,192.168.113.164,tablet,IN
TXN100162,D1279,192.168.11.150,mobile,US
TXN100163,D1085,192.168.220.9,desktop,NG
TXN100164,D1405,192.168.114.143,mobile,NG
TXN100165,D1666,192.168.16.70,mobile,NG
TXN100166,D2599,192.168.205.64,mobile,NG
TXN100167,D1304,192.168.216.147,desktop,GB
TXN100168,D1341,192.168.13.130,mobile,NG
TXN100169,D1272,192.168.97.173,desktop,US
TXN100170,D1075,192.168.97.90,mobile,IN
TXN100171,D2464,192.168.251.156,mobile,GB
TXN100172,D2014,192.168.5.52,desktop,GB
TXN100173,D2178,192.168.38.85,mobile,IN
TXN100174,D1785,192.168.15.201,desktop,KE
TXN100175,D1896,192.168.120.20,mobile,NG
TXN100176,D1661,192.168.201.50,mobile,KE
TXN100177,D2815,192.168.176.181,mobile,GB
TXN100178,D1439,192.168.108.239,mobile,GB
TXN100179,D2116,192.168.167.207,mobile,US
TXN100180,D1780,192.168.165.20,tablet,IN
TXN100181,D1311,192.168.203.83,mobile,US
TXN100182,D2656,192.168.229.68,tablet,US
TXN100183,D2701,192.168.174.157,desktop,NG
TXN100184,D2362,192.168.12.226,mobile,US
TXN100185,D1262,192.168.182.131,mobile,GB
TXN100186,D2608,192.168.30.112,mobile,KE
TXN100187,D2067,192.168.202.167,tablet,IN
TXN100188,D1815,192.168.228.161,tablet,US
TXN100189,D2645,192.168.171.182,desktop,US
TXN100190,D1617,192.168.2.160,tablet,IN
TXN100191,D2130,192.168.219.97,tablet,GB
TXN100192,D1071,192.168.11.137,tablet,KE
TXN100193,D2160,192.168.185.90,desktop,GB
TXN100194,D2404,192.168.40.56,desktop,IN
TXN100195,D1777,192.168.155.166,desktop,GB
TXN100196,D1346,192.168.139.12,tablet,GB
TXN100197,D1953,192.168.45.102,mobile,IN
TXN100198,D1048,192.168.151.164,mobile,NG
TXN100199,D2183,192.168.137.222,mobile,IN
TXN100200,D1732,192.168.57.15,mobile,IN
TXN100201,D1142,192.168.234.31,desktop,KE
TXN100202,D1572,192.168.231.25,mobile,GB
TXN100203,D1196,192.168.161.230,mobile,US
TXN100204,D2608,192.168.94.98,mobile,GB
TXN100205,D1653,192.168.78.204,tablet,US
TXN100206,D1433,192.168.141.225,mobile,KE
TXN100207,D2042,192.168.101.173,desktop,GB
TXN100208,D2476,192.168.251.224,desktop,US
TXN100209,D2857,192.168.24.214,tablet,GB
TXN100210,D2579,192.168.34.181,desktop,NG
TXN100211,D1494,192.168.199.49,mobile,GB
TXN100212,D2214,192.168.89.250,mobile,US
TXN100213,D2809,192.168.220.250,tablet,GB
TXN100214,D2727,192.168.219.204,desktop,IN
TXN100215,D1819,192.168.42.150,mobile,US
TXN100216,D1096,192.168.195.75,mobile,KE
TXN100217,D2528,192.168.18.61,mobile,IN
TXN100218,D2675,192.168.235.55,desktop,GB
TXN100219,D1569,192.168.140.191,tablet,KE
TXN100220,D2041,192.168.68.44,mobile,GB
TXN100221,D1361,192.168.157.117,tablet,IN
TXN100222,D1655,192.168.215.29,desktop,US
TXN100223,D2143,192.168.188.135,desktop,GB
TXN100224,D2464,192.168.229.70,mobile,GB
TXN100225,D1076,192.168.104.175,tablet,US
TXN100226,D1115,192.168.46.96,desktop,GB
TXN100227,D2328,192.168.18.245,mobile,US
TXN100228,D2274,192.168.87.176,mobile,IN
TXN100229,D1297,192.168.180.155,desktop,NG
TXN100230,D2863,192.168.100.15,tablet,GB
TXN100231,D2041,192.168.214.241,tablet,US
TXN100232,D2489,192.168.74.118,tablet,IN
TXN100233,D1692,192.168.153.85,mobile,NG
TXN100234,D1543,192.168.177.124,desktop,GB
TXN100235,D1181,192.168.222.97,mobile,NG
TXN100236,D2021,192.168.224.123,tablet,IN
TXN100237,D2400,192.168.90.88,tablet,US
TXN100238,D1114,192.168.143.15,tablet,GB
TXN100239,D1576,192.168.174.231,desktop,IN
TXN100240,D1363,192.168.130.124,desktop,KE
TXN100241,D2469,192.168.245.85,mobile,US
TXN100242,D1978,192.168.111.212,mobile,NG
TXN100243,D2371,192.168.164.25,tablet,US
TXN100244,D1266,192.168.178.202,mobile,GB
TXN100245,D2324,192.168.7.181,desktop,IN
TXN100246,D2487,192.168.252.134,desktop,KE
TXN100247,D2132,192.168.73.151,mobile,KE
TXN100248,D1897,192.168.13.165,desktop,GB
TXN100249,D1927,192.168.84.57,desktop,US
TXN100250,D1024,192.168.178.210,tablet,US
TXN100251,D2395,192.168.236.128,tablet,KE
TXN100252,D1856,192.168.249.40,mobile,GB
TXN100253,D1057,192.168.39.157,desktop,NG
TXN100254,D2483,192.168.15.36,tablet,NG
TXN100255,D1044,192.168.86.174,tablet,US
TXN100256,D2589,192.168.50.159,mobile,KE
TXN100257,D2013,192.168.84.229,tablet,US
TXN100258,D1599,192.168.154.15,mobile,GB
TXN100259,D2735,192.168.156.26,mobile,IN
TXN100260,D1308,192.168.199.132,tablet,KE
TXN100261,D2477,192.168.207.251,tablet,US
TXN100262,D1071,192.168.15.195,desktop,IN
TXN100263,D1462,192.168.171.222,mobile,GB
TXN100264,D1873,192.168.76.167,tablet,KE
TXN100265,D2499,192.168.136.199,tablet,IN
TXN100266,D1851,192.168.165.31,tablet,NG
TXN100267,D2596,192.168.9.23,desktop,GB
TXN100268,D1665,192.168.12.77,desktop,NG
TXN100269,D2542,192.168.104.231,tablet,KE
TXN100270,D2317,192.168.51.133,desktop,US
TXN100271,D2462,192.168.56.164,desktop,US
TXN100272,D2537,192.168.167.120,mobile,US
TXN100273,D1212,192.168.164.55,desktop,US
TXN100274,D1016,192.168.152.136,mobile,IN
TXN100275,D2674,192.168.177.27,desktop,US
TXN100276,D2353,192.168.31.163,mobile,US
TXN100277,D2516,192.168.11.75,desktop,KE
TXN100278,D1311,192.168.176.84,tablet,US
TXN100279,D1683,192.168.217.152,mobile,US
TXN100280,D1825,192.168.91.103,mobile,KE
TXN100281,D2459,192.168.141.46,mobile,NG
TXN100282,D2179,192.168.242.68,mobile,US
TXN100283,D2467,192.168.86.115,desktop,KE
TXN100284,D1955,192.168.215.141,mobile,IN
TXN100285,D1837,192.168.146.252,desktop,KE
TXN100286,D1935,192.168.53.154,desktop,GB
TXN100287,D1127,192.168.69.164,tablet,NG
TXN100288,D1152,192.168.253.251,tablet,KE
TXN100289,D2049,192.168.120.6,tablet,GB
TXN100290,D1809,192.168.48.27,desktop,KE
TXN100291,D2674,192.168.36.48,desktop,IN
TXN100292,D2742,192.168.206.63,tablet,KE
TXN100293,D2980,192.168.68.147,tablet,NG
TXN100294,D1398,192.168.7.18,desktop,IN
TXN100295,D2914,192.168.0.27,mobile,GB
TXN100296,D2447,192.168.232.21,tablet,NG
TXN100297,D2202,192.168.55.13,desktop,NG
TXN100298,D1685,192.168.6.98,desktop,US
TXN100299,D2373,192.168.135.235,mobile,GB
TXN100300,D2800,192.168.43.196,mobile,GB
TXN100301,D2995,192.168.177.224,mobile,KE
TXN100302,D1872,192.168.82.56,tablet,GB
TXN100303,D1270,192.168.233.186,desktop,NG
TXN100304,D1831,192.168.205.202,mobile,GB
TXN100305,D1183,192.168.24.150,desktop,GB
TXN100306,D2061,192.168.114.176,desktop,US
TXN100307,D2342,192.168.11.119,desktop,US
TXN100308,D2263,192.168.119.132,mobile,KE
TXN100309,D1234,192.168.193.67,tablet,NG
TXN100310,D1273,192.168.245.167,mobile,NG
TXN100311,D2003,192.168.15.241,tablet,GB
TXN100312,D1618,192.168.164.89,tablet,GB
TXN100313,D2393,192.168.254.88,tablet,GB
TXN100314,D1033,192.168.74.104,tablet,KE
TXN100315,D2264,192.168.45.24,tablet,GB
TXN100316,D1730,192.168.34.223,desktop,KE
TXN100317,D2221,192.168.98.138,desktop,GB
TXN100318,D1007,192.168.241.32,mobile,US
TXN100319,D2522,192.168.41.140,desktop,US
TXN100320,D2219,192.168.247.23,tablet,US
TXN100321,D2516,192.168.200.249,desktop,NG
TXN100322,D2332,192.168.228.73,desktop,IN
TXN100323,D2901,192.168.126.25,mobile,KE
TXN100324,D2559,192.168.94.202,desktop,US
TXN100325,D1169,192.168.226.28,mobile,KE
TXN100326,D2067,192.168.106.216,tablet,KE
TXN100327,D2232,192.168.246.243,desktop,NG
TXN100328,D1111,192.168.98.232,tablet,NG
TXN100329,D1034,192.168.220.149,mobile,KE
TXN100330,D2983,192.168.128.119,mobile,IN
TXN100331,D2930,192.168.16.164,tablet,GB
TXN100332,D2773,192.168.229.23,tablet,IN
TXN100333,D2488,192.168.200.92,desktop,US
TXN100334,D1877,192.168.154.109,tablet,US
TXN100335,D1989,192.168.23.96,desktop,GB
TXN100336,D1544,192.168.190.161,desktop,NG
TXN100337,D2368,192.168.222.107,desktop,IN
TXN100338,D2924,192.168.247.72,tablet,IN
TXN100339,D2919,192.168.220.226,mobile,IN
TXN100340,D1056,192.168.130.36,mobile,KE
TXN100341,D2453,192.168.26.213,mobile,KE
TXN100342,D1902,192.168.79.46,tablet,KE
TXN100343,D1008,192.168.158.248,desktop,GB
TXN100344,D2968,192.168.10.239,desktop,US
TXN100345,D2778,192.168.164.52,tablet,NG
TXN100346,D2543,192.168.84.61,desktop,US
TXN100347,D2659,192.168.229.63,mobile,US
TXN100348,D2625,192.168.230.112,desktop,NG
TXN100349,D1597,192.168.89.206,desktop,KE
TXN100350,D2504,192.168.75.145,tablet,IN
TXN100351,D1535,192.168.198.187,mobile,GB
TXN100352,D1272,192.168.99.48,tablet,GB
TXN100353,D2681,192.168.217.51,tablet,KE
TXN100354,D1754,192.168.207.0,tablet,US
TXN100355,D2318,192.168.250.230,desktop,IN
TXN100356,D2983,192.168.97.36,tablet,KE
TXN100357,D1653,192.168.232.162,tablet,NG
TXN100358,D1061,192.168.4.55,desktop,KE
TXN100359,D1744,192.168.182.223,tablet,US
TXN100360,D2992,192.168.213.216,desktop,GB
TXN100361,D1969,192.168.67.152,tablet,IN
TXN100362,D2464,192.168.240.223,mobile,KE
TXN100363,D2691,192.168.105.173,desktop,GB
TXN100364,D2431,192.168.187.227,desktop,US
TXN100365,D2954,192.168.201.92,mobile,NG
TXN100366,D1814,192.168.169.124,tablet,US
TXN100367,D1456,192.168.133.198,mobile,NG
TXN100368,D1862,192.168.46.81,mobile,GB
TXN100369,D2068,192.168.121.3,desktop,US
TXN100370,D2839,192.168.116.250,tablet,NG
TXN100371,D1217,192.168.37.162,mobile,NG
TXN100372,D1203,192.168.223.172,mobile,NG
TXN100373,D1310,192.168.27.154,mobile,GB
TXN100374,D1121,192.168.0.212,tablet,NG
TXN100375,D1972,192.168.249.57,mobile,KE
TXN100376,D2741,192.168.160.217,mobile,KE
TXN100377,D2912,192.168.209.32,mobile,NG
TXN100378,D2243,192.168.38.19,desktop,IN
TXN100379,D1472,192.168.248.49,tablet,KE
TXN100380,D1232,192.168.206.18,mobile,NG
TXN100381,D1753,192.168.39.252,mobile,US
TXN100382,D1638,192.168.205.25,desktop,NG
TXN100383,D2880,192.168.254.228,tablet,KE
TXN100384,D1903,192.168.34.127,desktop,US
TXN100385,D1698,192.168.117.199,tablet,IN
TXN100386,D2913,192.168.124.21,tablet,US
TXN100387,D1544,192.168.102.22,mobile,NG
TXN100388,D2438,192.168.187.57,desktop,US
TXN100389,D2102,192.168.36.206,desktop,NG
TXN100390,D1992,192.168.147.13,tablet,IN
TXN100391,D1052,192.168.7.170,desktop,NG
TXN100392,D1238,192.168.22.215,mobile,IN
TXN100393,D1690,192.168.192.147,desktop,KE
TXN100394,D2564,192.168.25.110,tablet,IN
TXN100395,D2925,192.168.129.2,desktop,GB
TXN100396,D2863,192.168.115.19,tablet,GB
TXN100397,D2844,192.168.107.9,desktop,US
TXN100398,D2286,192.168.28.191,tablet,GB
TXN100399,D1237,192.168.22.191,tablet,US
TXN100400,D2768,192.168.104.58,desktop,NG
TXN100401,D1216,192.168.29.195,desktop,US
TXN100402,D2520,192.168.23.173,tablet,US
TXN100403,D1754,192.168.82.184,desktop,GB
TXN100404,D2139,192.168.178.68,desktop,GB
TXN100405,D2812,192.168.140.51,mobile,NG
TXN100406,D1262,192.168.13.110,tablet,KE
TXN100407,D2553,192.168.195.67,desktop,KE
TXN100408,D2223,192.168.194.37,mobile,KE
TXN100409,D2977,192.168.66.190,tablet,US
TXN100410,D2603,192.168.166.125,tablet,GB
TXN100411,D2838,192.168.179.233,mobile,IN
TXN100412,D2799,192.168.24.172,mobile,IN
TXN100413,D1115,192.168.134.103,desktop,NG
TXN100414,D1342,192.168.45.24,mobile,NG
TXN100415,D2272,192.168.155.171,tablet,IN
TXN100416,D1644,192.168.239.4,mobile,NG
TXN100417,D2718,192.168.101.58,mobile,KE
TXN100418,D2929,192.168.44.230,tablet,US
TXN100419,D2932,192.168.68.160,desktop,IN
TXN100420,D1634,192.168.161.209,mobile,KE
TXN100421,D2441,192.168.36.251,mobile,NG
TXN100422,D1805,192.168.78.237,tablet,NG
TXN100423,D2361,192.168.229.252,mobile,GB
TXN100424,D1140,192.168.252.241,tablet,GB
TXN100425,D2020,192.168.59.83,mobile,GB
TXN100426,D1461,192.168.182.225,desktop,IN
TXN100427,D1931,192.168.176.110,tablet,US
TXN100428,D1258,192.168.28.55,tablet,KE
TXN100429,D1528,192.168.80.67,mobile,IN
TXN100430,D1387,192.168.26.22,mobile,KE
TXN100431,D2485,192.168.136.233,mobile,US
TXN100432,D1502,192.168.82.136,tablet,KE
TXN100433,D2090,192.168.253.173,desktop,NG
TXN100434,D2893,192.168.40.226,desktop,US
TXN100435,D1175,192.168.131.112,mobile,US
TXN100436,D1496,192.168.150.192,tablet,US
TXN100437,D1642,192.168.177.115,mobile,US
TXN100438,D1251,192.168.113.127,tablet,NG
TXN100439,D2545,192.168.127.46,desktop,US
TXN100440,D1443,192.168.112.25,desktop,US
TXN100441,D2726,192.168.96.176,mobile,GB
TXN100442,D1304,192.168.15.75,mobile,US
TXN100443,D2206,192.168.178.212,desktop,IN
TXN100444,D2462,192.168.138.20,mobile,KE
TXN100445,D1840,192.168.222.180,desktop,NG
TXN100446,D1997,192.168.222.235,mobile,IN
TXN100447,D1818,192.168.53.194,mobile,KE
TXN100448,D1230,192.168.168.55,tablet,NG
TXN100449,D1068,192.168.30.140,mobile,KE
TXN100450,D1940,192.168.104.76,desktop,NG
TXN100451,D2963,192.168.67.139,mobile,US
TXN100452,D2533,192.168.135.222,mobile,US
TXN100453,D2792,192.168.72.126,mobile,KE
TXN100454,D1070,192.168.57.8,mobile,IN
TXN100455,D1004,192.168.238.12,tablet,IN
TXN100456,D1989,192.168.88.158,mobile,KE
TXN100457,D2024,192.168.214.224,desktop,IN
TXN100458,D2376,192.168.170.108,mobile,GB
TXN100459,D1150,192.168.188.53,desktop,US
TXN100460,D1947,192.168.49.20,mobile,US
TXN100461,D2323,192.168.214.198,mobile,GB
TXN100462,D1729,192.168.1.2,desktop,US
TXN100463,D1854,192.168.150.64,tablet,US
TXN100464,D1526,192.168.125.107,tablet,GB
TXN100465,D1058,192.168.107.252,desktop,GB
TXN100466,D2029,192.168.66.100,mobile,IN
TXN100467,D1049,192.168.218.147,mobile,NG
TXN100468,D2850,192.168.141.176,tablet,NG
TXN100469,D1876,192.168.17.69,mobile,US
TXN100470,D2032,192.168.55.54,desktop,GB
TXN100471,D2000,192.168.48.122,mobile,IN
TXN100472,D1855,192.168.87.69,mobile,IN
TXN100473,D1524,192.168.70.160,desktop,KE
TXN100474,D1711,192.168.121.106,desktop,GB
TXN100475,D1172,192.168.12.135,tablet,KE
TXN100476,D1363,192.168.250.138,desktop,KE
TXN100477,D1403,192.168.192.74,desktop,IN
TXN100478,D1446,192.168.136.88,mobile,KE
TXN100479,D1380,192.168.128.65,mobile,KE
TXN100480,D1096,192.168.244.70,desktop,KE
TXN100481,D2407,192.168.249.116,mobile,KE
TXN100482,D2119,192.168.19.218,mobile,NG
TXN100483,D1665,192.168.17.88,desktop,GB
TXN100484,D1705,192.168.191.21,desktop,IN
TXN100485,D2969,192.168.25.251,tablet,US
TXN100486,D1554,192.168.197.117,mobile,US
TXN100487,D2383,192.168.147.225,tablet,GB
TXN100488,D1005,192.168.214.65,tablet,KE
TXN100489,D1240,192.168.137.64,mobile,US
TXN100490,D2765,192.168.82.12,tablet,KE
TXN100491,D2040,192.168.191.199,tablet,NG
TXN100492,D1661,192.168.96.12,tablet,NG
TXN100493,D1475,192.168.66.2,mobile,GB
TXN100494,D2153,192.168.103.198,tablet,US
TXN100495,D2004,192.168.4.53,mobile,KE
TXN100496,D1591,192.168.169.212,mobile,US
TXN100497,D2145,192.168.26.70,desktop,US
TXN100498,D2815,192.168.26.125,desktop,IN
TXN100499,D2752,192.168.19.8,desktop,IN
TXN100500,D2059,192.168.190.59,mobile,GB
TXN100501,D1252,192.168.12.252,tablet,NG
TXN100502,D2945,192.168.5.130,desktop,IN
TXN100503,D1899,192.168.83.13,desktop,GB
TXN100504,D2740,192.168.132.210,tablet,KE
TXN100505,D2919,192.168.5.230,tablet,NG
TXN100506,D2093,192.168.182.236,tablet,IN
TXN100507,D1869,192.168.135.124,mobile,GB
TXN100508,D1034,192.168.246.187,mobile,NG
TXN100509,D1039,192.168.48.244,desktop,IN
TXN100510,D2962,192.168.17.188,desktop,KE
TXN100511,D1797,192.168.10.59,mobile,US
TXN100512,D2970,192.168.207.116,mobile,US
TXN100513,D2599,192.168.104.71,mobile,GB
TXN100514,D2389,192.168.210.183,mobile,US
TXN100515,D2230,192.168.142.206,tablet,US
TXN100516,D2519,192.168.5.33,desktop,GB
TXN100517,D1425,192.168.123.151,desktop,GB
TXN100518,D1426,192.168.47.86,mobile,NG
TXN100519,D1246,192.168.114.31,mobile,KE
TXN100520,D1914,192.168.199.3,tablet,IN
TXN100521,D2748,192.168.99.73,mobile,IN
TXN100522,D1801,192.168.151.244,tablet,NG
TXN100523,D2803,192.168.92.16,mobile,GB
TXN100524,D2372,192.168.97.236,tablet,KE
TXN100525,D1962,192.168.62.53,desktop,KE
TXN100526,D1850,192.168.131.183,mobile,GB
TXN100527,D1349,192.168.102.211,mobile,KE
TXN100528,D1247,192.168.210.108,desktop,NG
TXN100529,D2548,192.168.117.202,mobile,KE
TXN100530,D1504,192.168.46.163,tablet,IN
TXN100531,D2622,192.168.112.133,mobile,NG
TXN100532,D1682,192.168.205.197,desktop,KE
TXN100533,D2722,192.168.70.96,mobile,NG
TXN100534,D1719,192.168.128.160,mobile,KE
TXN100535,D2151,192.168.179.238,desktop,US
TXN100536,D2942,192.168.244.41,tablet,US
TXN100537,D2160,192.168.218.214,mobile,KE
TXN100538,D2330,192.168.90.47,tablet,KE
TXN100539,D1919,192.168.207.57,tablet,NG
TXN100540,D2581,192.168.205.137,tablet,IN
TXN100541,D2817,192.168.160.118,mobile,US
TXN100542,D1091,192.168.125.225,mobile,NG
TXN100543,D1622,192.168.165.248,tablet,NG
TXN100544,D1962,192.168.113.186,tablet,US
TXN100545,D2628,192.168.28.182,tablet,KE
TXN100546,D1451,192.168.154.19,mobile,US
TXN100547,D1424,192.168.74.35,mobile,GB
TXN100548,D2952,192.168.136.76,mobile,KE
TXN100549,D1365,192.168.114.76,tablet,NG
TXN100550,D2699,192.168.63.155,desktop,IN
TXN100551,D1713,192.168.218.156,tablet,NG
TXN100552,D1517,192.168.209.136,tablet,KE
TXN100553,D1093,192.168.251.209,mobile,KE
TXN100554,D1642,192.168.240.49,desktop,KE
TXN100555,D1913,192.168.158.221,tablet,IN
TXN100556,D2110,192.168.129.39,mobile,US
TXN100557,D1652,192.168.120.54,mobile,US
TXN100558,D1351,192.168.81.187,tablet,GB
TXN100559,D1888,192.168.85.49,tablet,IN
TXN100560,D1454,192.168.142.183,desktop,NG
TXN100561,D1454,192.168.37.209,desktop,KE
TXN100562,D1133,192.168.25.85,mobile,GB
